Order-No.,Customer-No.,Item-No.,"Export to not EU [1 = n, 2 = y]","Dangerous Good [1 = n, 2 = y]",Planed-Master-Scenario-No.,Planed-Master-Order-Processing-Ongoing Position No.,Planed-Master-Order-Processing-Position-No. as an ID,Planed-Master-Order-Processing-Start-Time,Planed-Master-Order-Processing-End-Time,As-Is-Real-Order-Processing-Ongoing Position No.,As-Is-Master-Order-Processing-Position-No. as an ID,As-Is-Real-Order-Processing-Start-Time,As-Is-Real-Order-Processing-End-Time,Final Yield Quantity,Total Scrap Quantity,Problem_Type
ORD0006,CUS0003,ITE0045,2,2,SCE004,12,PR0010,2025-07-20 09:50:00,2025-07-20 10:00:00,3.0,PR0010,2025-07-20 08:42:00,2025-07-20 09:03:00,24,0,"Duplicate Steps, Delayed, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0006,CUS0003,ITE0045,2,2,SCE004,13,PR0011,2025-07-20 10:00:00,2025-07-20 10:10:00,14.0,PR0011,2025-07-20 12:33:00,2025-07-20 12:54:00,24,0,"Duplicate Steps, Delayed, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0006,CUS0003,ITE0045,2,2,SCE004,14,PR0012,2025-07-20 10:10:00,2025-07-20 10:20:00,15.0,PR0012,2025-07-20 12:54:00,2025-07-20 13:15:00,19,5,"Duplicate Steps, Delayed, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0007,CUS0018,ITE0037,2,2,SCE005,1,PR0001,2025-07-21 08:00:00,2025-07-21 08:10:00,1.0,PR0001,2025-07-21 08:00:00,2025-07-21 08:10:00,24,0,"Missing Steps, Extra Steps, Duplicate Steps"
ORD0007,CUS0018,ITE0037,2,2,SCE005,2,PR0003,2025-07-21 08:10:00,2025-07-21 08:20:00,,,,,24,0,"Missing Steps, Extra Steps, Duplicate Steps"
ORD0007,CUS0018,ITE0037,2,2,SCE005,3,PR0004,2025-07-21 08:20:00,2025-07-21 08:30:00,2.0,PR0004,2025-07-21 08:10:00,2025-07-21 08:20:00,24,0,"Missing Steps, Extra Steps, Duplicate Steps"
ORD0007,CUS0018,ITE0037,2,2,SCE005,4,PR0014,2025-07-21 08:30:00,2025-07-21 08:40:00,3.0,PR0014,2025-07-21 08:20:00,2025-07-21 08:30:00,23,1,"Missing Steps, Extra Steps, Duplicate Steps, Quantity Issue"
ORD0007,CUS0018,ITE0037,2,2,SCE005,5,PR0012,2025-07-21 08:40:00,2025-07-21 08:50:00,4.0,PR0012,2025-07-21 08:30:00,2025-07-21 08:40:00,21,3,"Missing Steps, Extra Steps, Duplicate Steps, Quantity Issue, Quantity Issue"
ORD0007,CUS0018,ITE0037,2,2,SCE005,6,PR0006,2025-07-21 08:50:00,2025-07-21 09:00:00,8.0,PR0006,2025-07-21 09:10:00,2025-07-21 09:20:00,24,0,"Missing Steps, Extra Steps, Duplicate Steps, Quantity Issue, Quantity Issue"
ORD0008,CUS0020,ITE0008,2,2,SCE004,1,PR0001,2025-07-22 08:00:00,2025-07-22 08:10:00,1.0,PR0001,2025-07-22 08:00:00,2025-07-22 08:10:00,24,0,None
ORD0008,CUS0020,ITE0008,2,2,SCE004,2,PR0002,2025-07-22 08:10:00,2025-07-22 08:20:00,2.0,PR0002,2025-07-22 08:10:00,2025-07-22 08:20:00,24,0,None
ORD0008,CUS0020,ITE0008,2,2,SCE004,3,PR0003,2025-07-22 08:20:00,2025-07-22 08:30:00,3.0,PR0003,2025-07-22 08:20:00,2025-07-22 08:30:00,24,0,None
ORD0008,CUS0020,ITE0008,2,2,SCE004,4,PR0004,2025-07-22 08:30:00,2025-07-22 08:40:00,4.0,PR0004,2025-07-22 08:30:00,2025-07-22 08:40:00,24,0,None
ORD0008,CUS0020,ITE0008,2,2,SCE004,5,PR0005,2025-07-22 08:40:00,2025-07-22 08:50:00,5.0,PR0005,2025-07-22 08:40:00,2025-07-22 08:50:00,15,9,Quantity Issue
ORD0008,CUS0020,ITE0008,2,2,SCE004,6,PR0014,2025-07-22 08:50:00,2025-07-22 09:00:00,6.0,PR0014,2025-07-22 08:50:00,2025-07-22 09:00:00,24,0,Quantity Issue
ORD0008,CUS0020,ITE0008,2,2,SCE004,7,PR0006,2025-07-22 09:00:00,2025-07-22 09:10:00,7.0,PR0006,2025-07-22 09:00:00,2025-07-22 09:10:00,24,0,Quantity Issue
ORD0008,CUS0020,ITE0008,2,2,SCE004,8,PR0007,2025-07-22 09:10:00,2025-07-22 09:20:00,8.0,PR0007,2025-07-22 09:10:00,2025-07-22 09:20:00,24,0,Quantity Issue
ORD0008,CUS0020,ITE0008,2,2,SCE004,9,PR0008,2025-07-22 09:20:00,2025-07-22 09:30:00,9.0,PR0008,2025-07-22 09:20:00,2025-07-22 09:30:00,24,0,Quantity Issue
ORD0008,CUS0020,ITE0008,2,2,SCE004,10,PR0013,2025-07-22 09:30:00,2025-07-22 09:40:00,10.0,PR0013,2025-07-22 09:30:00,2025-07-22 09:40:00,24,0,Quantity Issue
ORD0008,CUS0020,ITE0008,2,2,SCE004,11,PR0009,2025-07-22 09:40:00,2025-07-22 09:50:00,11.0,PR0009,2025-07-22 09:40:00,2025-07-22 09:50:00,24,0,Quantity Issue
ORD0008,CUS0020,ITE0008,2,2,SCE004,12,PR0010,2025-07-22 09:50:00,2025-07-22 10:00:00,12.0,PR0010,2025-07-22 09:50:00,2025-07-22 10:00:00,23,1,"Quantity Issue, Quantity Issue"
ORD0008,CUS0020,ITE0008,2,2,SCE004,13,PR0011,2025-07-22 10:00:00,2025-07-22 10:10:00,13.0,PR0011,2025-07-22 10:00:00,2025-07-22 10:10:00,24,0,"Quantity Issue, Quantity Issue"
ORD0008,CUS0020,ITE0008,2,2,SCE004,14,PR0012,2025-07-22 10:10:00,2025-07-22 10:20:00,14.0,PR0012,2025-07-22 10:10:00,2025-07-22 10:20:00,24,0,"Quantity Issue, Quantity Issue"
ORD0009,CUS0006,ITE0030,2,1,SCE003,1,PR0001,2025-07-23 08:00:00,2025-07-23 08:10:00,1.0,PR0001,2025-07-23 08:00:00,2025-07-23 08:10:00,22,2,"Missing Steps, Out of Order, Duplicate Steps, Quantity Issue"
ORD0009,CUS0006,ITE0030,2,1,SCE003,2,PR0002,2025-07-23 08:10:00,2025-07-23 08:20:00,2.0,PR0002,2025-07-23 08:10:00,2025-07-23 08:20:00,24,0,"Missing Steps, Out of Order, Duplicate Steps, Quantity Issue"
ORD0009,CUS0006,ITE0030,2,1,SCE003,3,PR0003,2025-07-23 08:20:00,2025-07-23 08:30:00,4.0,PR0003,2025-07-23 08:30:00,2025-07-23 08:40:00,24,0,"Missing Steps, Out of Order, Duplicate Steps, Quantity Issue"
ORD0009,CUS0006,ITE0030,2,1,SCE003,4,PR0004,2025-07-23 08:30:00,2025-07-23 08:40:00,3.0,PR0004,2025-07-23 08:20:00,2025-07-23 08:30:00,20,4,"Missing Steps, Out of Order, Duplicate Steps, Quantity Issue, Quantity Issue"
ORD0009,CUS0006,ITE0030,2,1,SCE003,5,PR0005,2025-07-23 08:40:00,2025-07-23 08:50:00,6.0,PR0005,2025-07-23 08:50:00,2025-07-23 09:00:00,24,0,"Missing Steps, Out of Order, Duplicate Steps, Quantity Issue, Quantity Issue"
ORD0009,CUS0006,ITE0030,2,1,SCE003,6,PR0014,2025-07-23 08:50:00,2025-07-23 09:00:00,7.0,PR0014,2025-07-23 09:00:00,2025-07-23 09:10:00,20,4,"Missing Steps, Out of Order, Duplicate Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0009,CUS0006,ITE0030,2,1,SCE003,7,PR0006,2025-07-23 09:00:00,2025-07-23 09:10:00,,,,,24,0,"Missing Steps, Out of Order, Duplicate Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0009,CUS0006,ITE0030,2,1,SCE003,8,PR0007,2025-07-23 09:10:00,2025-07-23 09:20:00,8.0,PR0007,2025-07-23 09:10:00,2025-07-23 09:20:00,24,0,"Missing Steps, Out of Order, Duplicate Steps, Quantity Issue, Quantity Issue, Quantity Issue"
