Order ID,Customer ID,Item ID,Export Flag,Dangerous Flag,Derived Scenario,Scenario Used,Planned Steps,As Is Steps,Breach Type,Breach Details
ORD4728,CUS3638,ITE5153,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4728,CUS3638,ITE5156,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4728,CUS3638,ITE5152,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,None,No breach
ORD4729,CUS3636,ITE5151,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4729,CUS3636,ITE5155,2,2,SCE004,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,missing,Missing: PR0001
ORD4729,CUS3636,ITE5151,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4730,CUS3636,ITE5155,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4730,CUS3636,ITE5152,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4730,CUS3636,ITE5155,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,None,No breach
ORD4731,CUS3640,ITE5154,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4731,CUS3640,ITE5151,1,1,SCE001,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,missing,Missing: PR0002
ORD4731,CUS3640,ITE5152,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4732,CUS3640,ITE5153,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4732,CUS3640,ITE5156,1,2,SCE002,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0012|PR0008|PR0001|PR0005|PR0013|PR0009|PR0004|PR0010|PR0011|PR0006|PR0003|PR0007|PR0002,out of order,"Wrong order: PR0001≠PR0012, PR0002≠PR0008, PR0003≠PR0001, PR0004≠PR0005, PR0005≠PR0013, PR0006≠PR0009, PR0007≠PR0004, PR0008≠PR0010, PR0009≠PR0011, PR0010≠PR0006, PR0011≠PR0003, PR0012≠PR0007, PR0013≠PR0002"
ORD4732,CUS3640,ITE5155,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4733,CUS3636,ITE5151,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4733,CUS3636,ITE5154,2,2,SCE004,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0013|PR0014|PR0004|PR0006|PR0012|PR0007|PR0010|PR0002|PR0011|PR0008|PR0005|PR0003|PR0001|PR0009,out of order,"Wrong order: PR0001≠PR0013, PR0002≠PR0014, PR0003≠PR0004, PR0004≠PR0006, PR0005≠PR0012, PR0006≠PR0007, PR0007≠PR0010, PR0008≠PR0002, PR0009≠PR0011, PR0010≠PR0008, PR0011≠PR0005, PR0012≠PR0003, PR0013≠PR0001, PR0014≠PR0009"
ORD4733,CUS3636,ITE5155,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4734,CUS3638,ITE5154,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4734,CUS3638,ITE5155,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4734,CUS3638,ITE5154,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4735,CUS3636,ITE5152,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,None,No breach
ORD4735,CUS3636,ITE5155,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4735,CUS3636,ITE5156,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,None,No breach
